secteur;site;tstamp;trafic_mbps;;;
T70735B;T70735;lundi 2 juillet 2018;7.541660165;;;
T70735C;T70735;lundi 2 juillet 2018;6.177722507;;;
T70737A;T70737;lundi 2 juillet 2018;6.520125694;;;
T70737B;T70737;lundi 2 juillet 2018;6.79482123;;;
T70737C;T70737;lundi 2 juillet 2018;8.164580932;;;
T70738A;T70738;lundi 2 juillet 2018;12.01483514;;;
T70738B;T70738;lundi 2 juillet 2018;4.438335735;;;
T70738C;T70738;lundi 2 juillet 2018;7.639417804;;;
T70743A;T70743;lundi 2 juillet 2018;0.228532892;;;
T70743B;T70743;lundi 2 juillet 2018;6.203985252;;;
T70743C;T70743;lundi 2 juillet 2018;2.416246353;;;
T70744A;T70744;lundi 2 juillet 2018;9.222719049;;;
T70744B;T70744;lundi 2 juillet 2018;15.02420739;;;
T70744C;T70744;lundi 2 juillet 2018;3.608361268;;;
T70745A;T70745;lundi 2 juillet 2018;6.098563418;;;
T70745B;T70745;lundi 2 juillet 2018;7.122010543;;;
T70745C;T70745;lundi 2 juillet 2018;5.374229043;;;
T70747A;T70747;lundi 2 juillet 2018;1.127044249;;;
T70747B;T70747;lundi 2 juillet 2018;1.20480742;;;
T70747C;T70747;lundi 2 juillet 2018;11.94457642;;;
T76995A;T76995;lundi 2 juillet 2018;5.975497006;;;
T76995B;T76995;lundi 2 juillet 2018;1.583566022;;;
T76995C;T76995;lundi 2 juillet 2018;5.956418626;;;
T77125A;T77125;lundi 2 juillet 2018;3.989936556;;;
T77125B;T77125;lundi 2 juillet 2018;3.644677102;;;
T77125C;T77125;lundi 2 juillet 2018;19.43065129;;;
T78256A;T78256;lundi 2 juillet 2018;15.11845771;;;
T78256B;T78256;lundi 2 juillet 2018;12.36045148;;;
T78256C;T78256;lundi 2 juillet 2018;14.07202503;;;
T78258A;T78258;lundi 2 juillet 2018;8.807252407;;;
T78258B;T78258;lundi 2 juillet 2018;12.19859284;;;
T78258C;T78258;lundi 2 juillet 2018;18.82783874;;;
